Generation,TotalEnergy_J,AverageDelay_Hops,MinResidual_J
51,0.019158568861462354,1.6,1.998043223130588
52,0.019152543701097976,1.6,1.998043223130588
53,0.018784821597609365,1.575,1.998043223130588
54,0.018784821597609365,1.575,1.998043223130588
55,0.018773323888187855,1.575,1.998043223130588
56,0.018755801018401966,1.575,1.998043223130588
57,0.018755801018401966,1.575,1.998043223130588
58,0.018755801018401966,1.575,1.998043223130588
59,0.018755801018401966,1.575,1.998043223130588
60,0.018755801018401966,1.575,1.998043223130588
61,0.018755801018401966,1.575,1.998043223130588
62,0.018755801018401966,1.575,1.998043223130588
63,0.018755801018401966,1.575,1.998043223130588
64,0.018755801018401966,1.575,1.998043223130588
65,0.018755801018401966,1.575,1.998043223130588
66,0.01874780378837279,1.575,1.998043223130588
67,0.01874780378837279,1.575,1.998043223130588
68,0.01874780378837279,1.575,1.998043223130588
69,0.01874780378837279,1.575,1.998043223130588
70,0.01874780378837279,1.575,1.998043223130588
71,0.01874780378837279,1.575,1.998043223130588
72,0.018745376631830107,1.575,1.9976796752144617
73,0.018745376631830107,1.575,1.9976796752144617
74,0.018745376631830107,1.575,1.9976796752144617
75,0.018745376631830107,1.575,1.9976796752144617
76,0.018745376631830107,1.575,1.9976796752144617
77,0.018745376631830107,1.575,1.9976796752144617
78,0.018745376631830107,1.575,1.9976796752144617
79,0.018745376631830107,1.575,1.9976796752144617
80,0.018745376631830107,1.575,1.9976796752144617
81,0.018745376631830107,1.575,1.9976796752144617
82,0.018745376631830107,1.575,1.9976796752144617
83,0.018745376631830107,1.575,1.9976796752144617
84,0.018745376631830107,1.575,1.9976796752144617
85,0.018745376631830107,1.575,1.9976796752144617
86,0.018745376631830107,1.575,1.9976796752144617
87,0.018745376631830107,1.575,1.9976796752144617
88,0.018745376631830107,1.575,1.9976796752144617
89,0.018745376631830107,1.575,1.9976796752144617
90,0.018745376631830107,1.575,1.9976796752144617
91,0.018745376631830107,1.575,1.9976796752144617
92,0.018745376631830107,1.575,1.9976796752144617
93,0.018745376631830107,1.575,1.9976796752144617
94,0.018745376631830107,1.575,1.9976796752144617
95,0.018745376631830107,1.575,1.9976796752144617
96,0.018745376631830107,1.575,1.9976796752144617
97,0.018745376631830107,1.575,1.9976796752144617
98,0.018745376631830107,1.575,1.9976796752144617
99,0.018745376631830107,1.575,1.9976796752144617
100,0.018745376631830107,1.575,1.9976796752144617
101,0.018745376631830107,1.575,1.9976796752144617
102,0.018745376631830107,1.575,1.9976796752144617
103,0.018745376631830107,1.575,1.9976796752144617
104,0.018745376631830107,1.575,1.9976796752144617
105,0.018745376631830107,1.575,1.9976796752144617
106,0.018745376631830107,1.575,1.9976796752144617
107,0.018745376631830107,1.575,1.9976796752144617
108,0.018745376631830107,1.575,1.9976796752144617
109,0.018745376631830107,1.575,1.9976796752144617
110,0.018745376631830107,1.575,1.9976796752144617
111,0.018745376631830107,1.575,1.9976796752144617
112,0.018745376631830107,1.575,1.9976796752144617
113,0.018745376631830107,1.575,1.9976796752144617
114,0.018356015880832386,1.55,1.9976796752144617
115,0.018356015880832386,1.55,1.9976796752144617
116,0.018356015880832386,1.55,1.9976796752144617
117,0.018356015880832386,1.55,1.9976796752144617
118,0.018356015880832386,1.55,1.9976796752144617
119,0.018356015880832386,1.55,1.9976796752144617
120,0.01835082929475032,1.55,1.9976796752144617
121,0.01835082929475032,1.55,1.9976796752144617
122,0.01835082929475032,1.55,1.9976796752144617
123,0.01835082929475032,1.55,1.9976796752144617
124,0.01835082929475032,1.55,1.9976796752144617
125,0.01835082929475032,1.55,1.9976796752144617
126,0.01835082929475032,1.55,1.9976796752144617
127,0.01835082929475032,1.55,1.9976796752144617
128,0.01835082929475032,1.55,1.9976796752144617
129,0.01835082929475032,1.55,1.9976796752144617
130,0.01835082929475032,1.55,1.9976796752144617
131,0.01835082929475032,1.55,1.9976796752144617
132,0.01835082929475032,1.55,1.9976796752144617
133,0.01835082929475032,1.55,1.9976796752144617
134,0.01835082929475032,1.55,1.9976796752144617
135,0.01835082929475032,1.55,1.9976796752144617
136,0.01835082929475032,1.55,1.9976796752144617
137,0.01835082929475032,1.55,1.9976796752144617
138,0.01835082929475032,1.55,1.9976796752144617
139,0.01835082929475032,1.55,1.9976796752144617
140,0.01835082929475032,1.55,1.9976796752144617
141,0.01835082929475032,1.55,1.9976796752144617
142,0.01835082929475032,1.55,1.9976796752144617
143,0.01835082929475032,1.55,1.9976796752144617
144,0.01835082929475032,1.55,1.9976796752144617
145,0.01835082929475032,1.55,1.9976796752144617
146,0.01835082929475032,1.55,1.9976796752144617
147,0.01835082929475032,1.55,1.9976796752144617
148,0.01835082929475032,1.55,1.9976796752144617
149,0.01835082929475032,1.55,1.9976796752144617
150,0.01835082929475032,1.55,1.9976796752144617
151,0.01835082929475032,1.55,1.9976796752144617
152,0.01835082929475032,1.55,1.9976796752144617
153,0.01835082929475032,1.55,1.9976796752144617
154,0.01835082929475032,1.55,1.9976796752144617
155,0.01835082929475032,1.55,1.9976796752144617
156,0.01835082929475032,1.55,1.9976796752144617
157,0.01835082929475032,1.55,1.9976796752144617
158,0.01835082929475032,1.55,1.9976796752144617
159,0.01835082929475032,1.55,1.9976796752144617
160,0.01835082929475032,1.55,1.9976796752144617
161,0.01835082929475032,1.55,1.9976796752144617
162,0.01835082929475032,1.55,1.9976796752144617
163,0.01835082929475032,1.55,1.9976796752144617
164,0.01835082929475032,1.55,1.9976796752144617
165,0.01835082929475032,1.55,1.9976796752144617
166,0.01835082929475032,1.55,1.9976796752144617
167,0.01835082929475032,1.55,1.9976796752144617
168,0.01835082929475032,1.55,1.9976796752144617
169,0.01835082929475032,1.55,1.9976796752144617
170,0.01835082929475032,1.55,1.9976796752144617
171,0.01835082929475032,1.55,1.9976796752144617
172,0.01835082929475032,1.55,1.9976796752144617
173,0.01835082929475032,1.55,1.9976796752144617
174,0.01835082929475032,1.55,1.9976796752144617
175,0.01835082929475032,1.55,1.9976796752144617
176,0.01835082929475032,1.55,1.9976796752144617
177,0.01835082929475032,1.55,1.9976796752144617
178,0.01835082929475032,1.55,1.9976796752144617
179,0.01835082929475032,1.55,1.9976796752144617
180,0.01835082929475032,1.55,1.9976796752144617
181,0.01835082929475032,1.55,1.9976796752144617
182,0.01835082929475032,1.55,1.9976796752144617
183,0.01835082929475032,1.55,1.9976796752144617
184,0.01835082929475032,1.55,1.9976796752144617
185,0.01835082929475032,1.55,1.9976796752144617
186,0.01835082929475032,1.55,1.9976796752144617
187,0.01835082929475032,1.55,1.9976796752144617
188,0.01835082929475032,1.55,1.9976796752144617
189,0.01835082929475032,1.55,1.9976796752144617
190,0.01835082929475032,1.55,1.9976796752144617
191,0.01835082929475032,1.55,1.9976796752144617
192,0.01835082929475032,1.55,1.9976796752144617
193,0.01835082929475032,1.55,1.9976796752144617
194,0.01835082929475032,1.55,1.9976796752144617
195,0.01835082929475032,1.55,1.9976796752144617
196,0.01835082929475032,1.55,1.9976796752144617
197,0.01835082929475032,1.55,1.9976796752144617
198,0.01835082929475032,1.55,1.9976796752144617
199,0.01835082929475032,1.55,1.9976796752144617
200,0.01835082929475032,1.55,1.9976796752144617
201,0.01835082929475032,1.55,1.9976796752144617
202,0.01835082929475032,1.55,1.9976796752144617
203,0.01835082929475032,1.55,1.9976796752144617
204,0.01835082929475032,1.55,1.9976796752144617
205,0.01835082929475032,1.55,1.9976796752144617
206,0.01835082929475032,1.55,1.9976796752144617
207,0.01835082929475032,1.55,1.9976796752144617
208,0.01835082929475032,1.55,1.9976796752144617
209,0.01835082929475032,1.55,1.9976796752144617
210,0.01835082929475032,1.55,1.9976796752144617
211,0.01835082929475032,1.55,1.9976796752144617
212,0.01835082929475032,1.55,1.9976796752144617
213,0.01835082929475032,1.55,1.9976796752144617
214,0.01835082929475032,1.55,1.9976796752144617
215,0.01835082929475032,1.55,1.9976796752144617
216,0.01835082929475032,1.55,1.9976796752144617
217,0.01835082929475032,1.55,1.9976796752144617
218,0.01835082929475032,1.55,1.9976796752144617
219,0.01835082929475032,1.55,1.9976796752144617
220,0.01835082929475032,1.55,1.9976796752144617
221,0.01835082929475032,1.55,1.9976796752144617
222,0.01835082929475032,1.55,1.9976796752144617
223,0.01835082929475032,1.55,1.9976796752144617
224,0.01835082929475032,1.55,1.9976796752144617
225,0.01835082929475032,1.55,1.9976796752144617
226,0.01835082929475032,1.55,1.9976796752144617
227,0.01835082929475032,1.55,1.9976796752144617
228,0.01835082929475032,1.55,1.9976796752144617
229,0.01835082929475032,1.55,1.9976796752144617
230,0.01835082929475032,1.55,1.9976796752144617
231,0.01835082929475032,1.55,1.9976796752144617
232,0.01835082929475032,1.55,1.9976796752144617
233,0.01835082929475032,1.55,1.9976796752144617
234,0.01835082929475032,1.55,1.9976796752144617
235,0.01835082929475032,1.55,1.9976796752144617
236,0.01835082929475032,1.55,1.9976796752144617
237,0.01835082929475032,1.55,1.9976796752144617
238,0.01835082929475032,1.55,1.9976796752144617
239,0.01835082929475032,1.55,1.9976796752144617
240,0.01835082929475032,1.55,1.9976796752144617
241,0.01835082929475032,1.55,1.9976796752144617
242,0.01835082929475032,1.55,1.9976796752144617
243,0.01835082929475032,1.55,1.9976796752144617
244,0.01835082929475032,1.55,1.9976796752144617
245,0.01835082929475032,1.55,1.9976796752144617
246,0.01835082929475032,1.55,1.9976796752144617
247,0.01835082929475032,1.55,1.9976796752144617
248,0.01835082929475032,1.55,1.9976796752144617
249,0.01835082929475032,1.55,1.9976796752144617
250,0.01835082929475032,1.55,1.9976796752144617
251,0.01835082929475032,1.55,1.9976796752144617
252,0.01835082929475032,1.55,1.9976796752144617
253,0.01835082929475032,1.55,1.9976796752144617
254,0.01835082929475032,1.55,1.9976796752144617
255,0.01835082929475032,1.55,1.9976796752144617
256,0.01835082929475032,1.55,1.9976796752144617
257,0.01835082929475032,1.55,1.9976796752144617
258,0.01835082929475032,1.55,1.9976796752144617
259,0.01835082929475032,1.55,1.9976796752144617
260,0.01835082929475032,1.55,1.9976796752144617
261,0.01835082929475032,1.55,1.9976796752144617
262,0.01835082929475032,1.55,1.9976796752144617
263,0.01835082929475032,1.55,1.9976796752144617
