Generation,MaxFitness,AvgFitness,Diversity,TotalEnergy_J,AvgDelay_Hops,MinResidual_J
85,0.8721426820552451,0.8717937945797698,0.3736430976430976,0.020703065132406814,1.6916666666666667,1.997287116643657
86,0.8721426820552451,0.8718222447047493,0.38819528619528626,0.020703065132406814,1.6916666666666667,1.997287116643657
87,0.8721426820552451,0.871838632485595,0.3451851851851852,0.020703065132406814,1.6916666666666667,1.997287116643657
88,0.8721429743140303,0.871790397100739,0.3581481481481481,0.020702969589888234,1.6916666666666667,1.997287116643657
89,0.872143169222561,0.8718436631487372,0.3244309764309764,0.02070290570808934,1.6916666666666667,1.997287116643657
90,0.8721433043229833,0.8718023179041212,0.33418181818181814,0.020702861502186812,1.6916666666666667,1.997287116643657
91,0.8721433043229833,0.8718647829252587,0.33148148148148154,0.020702861502186812,1.6916666666666667,1.997287116643657
92,0.8721439346206954,0.8718073313095588,0.3516228956228956,0.020702597992770893,1.6916666666666667,1.9972725151243225
93,0.8721442268869303,0.8717930422899098,0.35507744107744105,0.02070250245025231,1.6916666666666667,1.9972725151243225
94,0.8721442268869303,0.8718245565137439,0.38138720538720544,0.02070250245025231,1.6916666666666667,1.9972725151243225
95,0.8721442268869303,0.8717783522778355,0.39455892255892255,0.02070250245025231,1.6916666666666667,1.9972725151243225
96,0.87214459829673,0.8718050336704738,0.3666666666666666,0.020702331271372096,1.6916666666666667,1.997259357216934
97,0.87214459829673,0.8717994009793347,0.3513737373737374,0.020702331271372096,1.6916666666666667,1.997259357216934
98,0.87214459829673,0.8718402195009874,0.3393063973063972,0.020702331271372096,1.6916666666666667,1.997259357216934
99,0.87214459829673,0.8718003548996888,0.3455892255892256,0.020702331271372096,1.6916666666666667,1.997259357216934
100,0.8721446435459591,0.871817621376935,0.33032323232323235,0.02070231604079338,1.6916666666666667,1.997259357216934
101,0.8721446435459591,0.8718062224687296,0.32223569023569015,0.02070231604079338,1.6916666666666667,1.997259357216934
102,0.8721446435459591,0.8718363923219833,0.31395286195286193,0.02070231604079338,1.6916666666666667,1.997259357216934
103,0.8721446435459591,0.8718306046241291,0.3137373737373737,0.02070231604079338,1.6916666666666667,1.997259357216934
